,movie,years,timeMin,imdb,metascore,votes,us_grossMillions
0,The Trial of the Chicago 7,(2020),129 min,7.9,76        ,-,-
1,Tenet,(2020),150 min,7.8,69        ,"145,115",$53.80M
2,Spider-Man: Into the Spider-Verse,(2018),117 min,8.4,87        ,"351,937",$190.24M
3,The Gentlemen,(2019),113 min,7.8,51        ,-,-
4,Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,64        ,"641,111",$317.58M
5,Knives Out,(2019),130 min,7.9,82        ,"414,838",$165.36M
6,Parasite,(2019),132 min,8.6,96        ,"506,853",$53.37M
7,Once Upon a Time... In Hollywood,(2019),161 min,7.6,83        ,"528,042",$142.50M
8,Soorarai Pottru,(2020),153 min,9.1,-,-,-
9,1917,(2019),119 min,8.3,78        ,"389,418",$159.23M
10,Avengers: Endgame,(2019),181 min,8.4,78        ,"779,386",$858.37M
11,Jojo Rabbit,(2019),108 min,7.9,58        ,"274,181",$0.35M
12,The Shawshank Redemption,(1994),142 min,9.3,80        ,"2,306,361",$28.34M
13,The Wolf of Wall Street,(2013),180 min,8.2,75        ,"1,158,981",$116.90M
14,Joker,(2019),122 min,8.5,59        ,"894,873",$335.45M
15,The Godfather,(1972),175 min,9.2,100        ,"1,591,685",$134.97M
16,Love Actually,(2003),135 min,7.6,55        ,"418,708",$59.70M
17,Interstellar,(2014),169 min,8.6,74        ,"1,477,232",$188.02M
18,One Flew Over the Cuckoo's Nest,(1975),133 min,8.7,83        ,"905,411",$112.00M
19,Inception,(2010),148 min,8.8,74        ,"2,031,548",$292.58M
20,Hamilton,(2020),160 min,8.6,90        ,-,-
21,Titanic,(1997),194 min,7.8,75        ,"1,032,207",$659.33M
22,Inglourious Basterds,(2009),153 min,8.3,69        ,"1,245,579",$120.54M
23,Ocean's Eleven,(2001),116 min,7.7,74        ,"509,358",$183.42M
24,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"1,635,923",$315.54M
25,Little Women,(2019),135 min,7.8,91        ,"131,235",$108.10M
26,The Dark Knight,(2008),152 min,9.0,84        ,"2,269,481",$534.86M
27,Home Alone,(1990),103 min,7.6,63        ,"456,559",$285.76M
28,Blade Runner 2049,(2017),164 min,8.0,81        ,"450,228",$92.05M
29,The Shining,(1980),146 min,8.4,66        ,"884,176",$44.02M
30,Pulp Fiction,(1994),154 min,8.9,94        ,"1,800,053",$107.93M
31,The Matrix,(1999),136 min,8.7,73        ,"1,650,617",$171.48M
32,Goodfellas,(1990),146 min,8.7,90        ,"1,003,954",$46.84M
33,V for Vendetta,(2005),132 min,8.2,62        ,"1,020,344",$70.51M
34,Harry Potter and the Goblet of Fire,(2005),157 min,7.7,81        ,"538,280",$290.01M
35,Ford v Ferrari,(2019),152 min,8.1,81        ,"272,292",$117.62M
36,A Clockwork Orange,(1971),136 min,8.3,77        ,"748,226",$6.21M
37,Gladiator,(2000),155 min,8.5,67        ,"1,322,117",$187.71M
38,Full Metal Jacket,(1987),116 min,8.3,76        ,"665,953",$46.36M
39,Hacksaw Ridge,(2016),139 min,8.1,71        ,"425,874",$67.21M
40,Django Unchained,(2012),165 min,8.4,81        ,"1,334,727",$162.81M
41,Saving Private Ryan,(1998),169 min,8.6,91        ,"1,217,562",$216.54M
42,The Departed,(2006),151 min,8.5,85        ,"1,172,254",$132.38M
43,The Green Mile,(1999),189 min,8.6,61        ,"1,127,669",$136.80M
44,Back to the Future,(1985),116 min,8.5,87        ,"1,040,979",$210.61M
45,Fargo,(1996),98 min,8.1,85        ,"608,210",$24.61M
46,Fight Club,(1999),139 min,8.8,66        ,"1,827,526",$37.03M
47,Get Out,(I) (2017),104 min,7.7,85        ,"482,180",$176.04M
48,Dazed and Confused,(1993),102 min,7.6,78        ,"163,275",$7.99M
49,Se7en,(1995),127 min,8.6,65        ,"1,420,800",$100.13M
